Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/sharedmodel/campaign/v2/listCoreCampaigns (POST),0.75 [0.5]*,12.0,413,266,131,775,4950,00.1,00.3
/recipe/processUpgradeCharacterEvolutionRecipe (POST),1.0 [0.5]*,62.870930232558145,78.3,18.5,58.3,141,4920,00.1,00.0
/store/store/purchaseConversionProduct (POST),1.0 [0.5]*,50.0,97.5,77.1,21.6,280,4870,00.1,00.0
/store/playerraid/end (POST),0.89 [0.5]*,8.48793103448276,546,990,147,3170,4640,00.1,00.1
/tutorial/recipe/processOpenGachaRecipe (POST),1.0 [0.5]*,20.0,230,54.6,171,350,4600,00.1,00.0
/{a:crate|crate\/v1}/campaign/v2/listCoreCampaigns (POST),0.67 [0.5]*,8.895833333333332,515,51.6,408,569,4580,00.1,00.3
/model/liveops/events/evaluate (POST),0.5 [0.5]*,4.933592464105746,925,1080,22.7,2790,4560,00.1,00.2
/recipe/campaign/v2/getUpdatedCampaignInfo (POST),0.97 [0.5]*,38.98970525246287,116,146,21.1,669,4540,00.1,00.1
/recipe/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,23.0,197,22.7,160,238,4530,00.1,00.0
/sharedmodel/liveops/events/evaluate (POST),0.0 [0.5]*,2.0,2250,251,2070,2430,4500,00.1,00.2
/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,83.98191489361702,48.6,40.1,15.7,200,4080,00.1,00.0
/tutorial/store/purchaseConversionProduct (POST),1.0 [0.5]*,32.0,122,64.5,23.1,297,3890,00.1,00.0
/playermodel/playerraid/end (POST),0.97 [0.5]*,14.663793103448276,264,164,168,842,3860,00.1,00.0
/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5],220.8063829787234,17.2,6.65,12.7,73.1,3790,00.1,00.0
/{a:crate|crate\/v1}/{a:crate|crate\/v1}/assignSharedCrate (POST),0.92 [0.5]*,50.889130434782615,72.9,17.0,39.4,119,3710,00.1,00.4
/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,52.976003007099145,69.2,16.6,49.0,118,3660,00.1,00.0
/{a:crate|crate\/v1}/battlelog/listDefenseLogs (POST),1.0 [0.5],180.55041513691108,20.2,5.44,14.3,60.2,3640,00.1,00.0
