Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/model/ads/claim (POST),0.2 [0.5]*,5.0,501,670,24.3,1650,2500,00.0,00.0
/store/recipe/campaign/v2/listCoreCampaigns (POST),0.8 [0.5]*,5.0,483,65.7,399,578,2420,00.0,00.0
/reward/periodic/{a:authentication|authentication\/v1}/register (POST),0.33 [0.5]*,3.0,801,86.6,735,899,2400,00.0,00.0
/{a:crate|crate\/v1}/recipe/campaign/v2/listCoreCampaigns (POST),0.9 [0.5]*,5.0,476,114,380,668,2380,00.0,00.0
/notification/liveops/events/evaluate (POST),0.75 [0.5]*,4.0,594,520,148,1150,2380,00.0,00.0
/store/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,31.0,76.3,14.0,52.7,124,2370,00.0,00.0
/goal/v1/checkGoalsReset (POST),1.0 [0.5]*,8.994200093908672,262,12.9,246,285,2360,00.0,00.0
/playermodel/reward/periodic/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2330,0,2330,2330,2330,00.0,00.0
/battlelog/playermodel/reward/periodic/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2310,0,2310,2310,2310,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/battlelog/playermodel/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2310,0,2310,2310,2310,00.0,00.0
/playermodel/battlelog/playermodel/battlelog/playermodel/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2300,0,2300,2300,2300,00.0,00.0
/reward/periodic/playermodel/battlelog/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2290,0,2290,2290,2290,00.0,00.0
/{a:crate|crate\/v1}/battlelog/battlelog/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2290,0,2290,2290,2290,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/reward/periodic/playermodel/battlelog/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2290,0,2290,2290,2290,00.0,00.0
/playermodel/battlelog/reward/periodic/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2290,0,2290,2290,2290,00.0,00.0
/battlelog/battlelog/playermodel/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2280,0,2280,2280,2280,00.0,00.0
/{a:crate|crate\/v1}/battlelog/reward/periodic/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2280,0,2280,2280,2280,00.0,00.0
/playermodel/battlelog/playermodel/reward/periodic/liveops/events/evaluate (POST),0.0 [0.5]*,1.0,2280,0,2280,2280,2280,00.0,00.0
/{a:crate|crate\/v1}/recipe/campaign/v2/finishStage (POST),0.7 [0.5]*,5.0,453,190,208,629,2260,00.0,00.0
/{a:crate|crate\/v1}/healthcheck (GET),0.93 [0.5]*,7.0,323,107,231,546,2260,00.0,00.0
/model/quest/claimQuest (POST),0.0 [0.5]*,1.0,2070,0,2070,2070,2070,00.0,00.0
/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,18.0,114,24.1,65.4,153,2060,00.0,00.0
/{a:crate|crate\/v1}/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,28.0,70.2,31.9,40.4,167,1970,00.0,00.0
/model/infobutton/getProductRewardInfo (POST),0.67 [0.5]*,3.0,651,558,30.3,1110,1950,00.0,00.0
/{a:social\/integration|social\/v1\/integration}/googleplay/find (POST),0.75 [0.5]*,3.9977448223216023,488,127,365,655,1950,00.0,00.0
/sharedmodel/liveops/events/evaluate (POST),0.75 [0.5]*,2.0,975,1170,147,1800,1950,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/liveops/events/evaluate (POST),0.5 [0.5]*,1.0,1910,0,1910,1910,1910,00.0,00.0
/store/recipe/playerraid/end (POST),1.0 [0.5]*,6.0,317,92.3,224,425,1900,00.0,00.0
/store/recipe/recipe/liveops/events/evaluate (POST),0.88 [0.5]*,4.0,472,884,22.1,1800,1890,00.0,00.0
/battlelog/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,18.0,105,30.7,73.5,175,1890,00.0,00.0
/model/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,10.0,184,21.1,146,221,1840,00.0,00.0
/playermodel/reward/periodic/reward/periodic/playermodel/battlelog/liveops/events/evaluate (POST),0.5 [0.5]*,1.0,1790,0,1790,1790,1790,00.0,00.0
/recipe/recipe/campaign/v2/finishStage (POST),0.67 [0.5]*,3.0,579,164,395,712,1740,00.0,00.0
/reward/periodic/battlelog/playermodel/battlelog/liveops/events/evaluate (POST),0.5 [0.5]*,1.0,1720,0,1720,1720,1720,00.0,00.0
/{a:crate|crate\/v1}/reward/periodic/battlelog/playermodel/liveops/events/evaluate (POST),0.5 [0.5]*,1.0,1700,0,1700,1700,1700,00.0,00.0
/playermodel/playermodel/reward/periodic/liveops/events/evaluate (POST),0.5 [0.5]*,1.0,1690,0,1690,1690,1690,00.0,00.0
/reward/periodic/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,21.0,79.7,32.1,20.1,135,1670,00.0,00.0
/reward/periodic/inbox/getPlayerInbox (POST),1.0 [0.5]*,48.0,34.4,27.2,13.5,132,1650,00.0,00.0
/reward/periodic/ads/claim (POST),0.69 [0.5]*,18.0,91.6,141,23.9,539,1650,00.0,00.0
/recipe/recipe/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,6.0,266,64.7,191,353,1600,00.0,00.0
/{a:crate|crate\/v1}/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,43.0,37.0,48.6,15.8,251,1590,00.0,00.0
/model/infobutton/getRewardInfo (POST),0.83 [0.5]*,3.0,475,787,19.2,1380,1420,00.0,00.0
/recipe/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,83.0,16.9,16.1,11.3,157,1400,00.0,00.0
/playermodel/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,13.0,107,32.0,75.3,190,1400,00.0,00.0
/store/recipe/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,5.0,276,125,67.4,377,1380,00.0,00.0
/battlelog/recipe/recipe/liveops/events/evaluate (POST),0.88 [0.5]*,4.0,343,648,13.8,1320,1370,00.0,00.0
/recipe/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,15.0,91.3,118,24.2,429,1370,00.0,00.0
/reward/periodic/infobutton/getGachaRewardInfo (POST),0.95 [0.5]*,10.0,137,201,17.3,683,1370,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/liveops/events/evaluate (POST),0.88 [0.5]*,4.0,340,649,14.5,1310,1360,00.0,00.0
/{a:crate|crate\/v1}/recipe/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,4.0,338,55.4,265,399,1350,00.0,00.0
/playermodel/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,49.0,27.5,15.9,13.5,115,1350,00.0,00.0
/battlelog/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,48.0,27.5,12.8,17.7,89.2,1320,00.0,00.0
/reward/periodic/model/listModels (POST),0.5 [0.5]*,1.0,1300,0,1300,1300,1300,00.0,00.0
/playermodel/healthcheck (GET),0.83 [0.5]*,3.0,413,245,262,696,1240,00.0,00.0
/sharedmodel/leaderboards/getPlayerPosition (POST),0.5 [0.5]*,1.0,1240,0,1240,1240,1240,00.0,00.0
/recipe/recipe/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,11.0,112,98.4,24.6,365,1230,00.0,00.0
/{a:crate|crate\/v1}/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,12.0,101,38.6,72.9,215,1220,00.0,00.0
/store/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,18.0,65.4,24.9,38.2,148,1180,00.0,00.0
/battlelog/battlelog/claim (POST),1.0 [0.5]*,17.0,68.7,23.2,50.3,126,1170,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/campaign/v2/finishStage (POST),0.5 [0.5]*,2.0,576,8.42,570,582,1150,00.0,00.0
/model/sharedmodel/listSharedModels (POST),0.75 [0.5]*,2.0,556,711,53.0,1060,1110,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,4.0,277,42.6,214,308,1110,00.0,00.0
/{a:crate|crate\/v1}/recipe/playerraid/end (POST),1.0 [0.5]*,4.0,277,36.5,237,326,1110,00.0,00.0
/recipe/recipe/playerraid/end (POST),0.83 [0.5]*,3.0,366,124,280,508,1100,00.0,00.0
/battlelog/recipe/ads/claim (POST),0.79 [0.5]*,14.0,76.5,108,24.8,446,1070,00.0,00.0
/recipe/recipe/campaign/v2/listCoreCampaigns (POST),0.75 [0.5]*,2.0,519,161,405,633,1040,00.0,00.0
/store/recipe/campaign/v2/startStage (POST),1.0 [0.5]*,10.0,102,88.0,53.3,343,1020,00.0,00.0
/store/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,34.0,28.8,14.7,16.4,75.9,978,00.0,00.0
/playermodel/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,19.0,51.4,29.4,16.5,134,977,00.0,00.0
/{a:crate|crate\/v1}/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,29.0,33.4,4.3,26.7,49.1,968,00.0,00.0
/model/model/listModels (POST),0.5 [0.5]*,1.0,960,0,960,960,960,00.0,00.0
/recipe/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,12.0,79.5,15.2,57.6,119,954,00.0,00.0
/store/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,7.0,136,59.8,73.6,214,950,00.0,00.0
/battlelog/healthcheck (GET),1.0 [0.5]*,3.0,308,34.8,276,345,923,00.0,00.0
/model/recipe/processInstantOpenCrateRecipe (POST),0.67 [0.5]*,3.0,304,191,109,491,911,00.0,00.0
/{a:crate|crate\/v1}/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,24.0,37.4,11.5,27.6,74.4,898,00.0,00.0
/{a:crate|crate\/v1}/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,28.0,31.8,3.72,27.3,45.9,889,00.0,00.0
/{a:crate|crate\/v1}/handleDeliveries (POST),1.0 [0.5]*,15.0,55.4,17.5,42.8,111,830,00.0,00.0
/{a:player|player\/v1}/getPlayer (POST),1.0 [0.5]*,91.81070870482893,8.87,5.76,4.38,41.0,814,00.0,00.0
/reward/periodic/goal/v1/claimAchievement (POST),1.0 [0.5]*,5.0,158,88.9,91.1,310,789,00.0,00.0
/reward/periodic/goal/v1/claimRepeatableGoal (POST),1.0 [0.5]*,3.0,256,17.8,237,272,769,00.0,00.0
/tutorial/recipe/processUpgradeCharacterQualityRecipe (POST),1.0 [0.5]*,8.0,93.3,10.4,78.2,110,746,00.0,00.0
/reward/periodic/playerraid/startRaid (POST),1.0 [0.5]*,13.0,57.3,38.0,35.4,173,745,00.0,00.0
/battlelog/recipe/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,3.0,248,175,57.8,401,744,00.0,00.0
/battlelog/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,17.0,42.7,97.9,11.0,421,726,00.0,00.0
/reward/periodic/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,19.0,36.7,26.3,17.1,124,697,00.0,00.0
/{a:crate|crate\/v1}/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,11.0,61.0,92.8,13.5,331,671,00.0,00.0
/battlelog/recipe/recipe/campaign/v2/finishStage (POST),0.5 [0.5]*,1.0,648,0,648,648,648,00.0,00.0
/playermodel/recipe/leaderboards/getPlayerPosition (POST),1.0 [0.5]*,3.0,215,160,82.7,393,646,00.0,00.0
/{a:crate|crate\/v1}/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,9.0,71.0,37.9,21.9,154,639,00.0,00.0
/reward/periodic/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,25.0,24.5,14.6,12.5,75.5,612,00.0,00.0
/reward/periodic/tutorial/startStep (POST),1.0 [0.5]*,28.0,21.5,4.65,15.9,39.3,603,00.0,00.0
/reward/periodic/recipe/processUpgradeCharacterEvolutionRecipe (POST),1.0 [0.5]*,5.0,120,37.4,97.9,186,600,00.0,00.0
/recipe/processAcquireBuildingRecipe (POST),1.0 [0.5]*,3.0,200,18.0,182,218,600,00.0,00.0
/store/healthcheck (GET),1.0 [0.5]*,2.0,294,64.3,249,340,589,00.0,00.0
/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,26.94590300165012,21.5,9.42,12.4,46.4,580,00.0,00.0
/playermodel/battlelog/claim (POST),1.0 [0.5]*,5.0,116,131,44.7,350,578,00.0,00.0
/battlelog/recipe/campaign/v2/startStage (POST),1.0 [0.5]*,9.0,63.2,9.05,55.9,83.7,568,00.0,00.0
/store/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,12.0,46.9,44.7,14.8,170,563,00.0,00.0
/tutorial/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,9.0,62.3,19.2,35.8,99.8,561,00.0,00.0
/playermodel/mission/v1/action/start (POST),1.0 [0.5]*,2.0,277,30.2,256,298,554,00.0,00.0
/playermodel/recipe/leaderboards/getTopPlayers (POST),1.0 [0.5]*,4.0,137,149,34.2,358,550,00.0,00.0
/store/recipe/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,3.0,181,131,42.6,303,542,00.0,00.0
/playermodel/recipe/version (GET),0.5 [0.5]*,1.0,521,0,521,521,521,00.0,00.0
/reward/periodic/quest/claimQuest (POST),0.5 [0.5]*,1.0,510,0,510,510,510,00.0,00.0
/playermodel/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,4.0,126,33.0,86.9,157,505,00.0,00.0
/store/recipe/playerraid/startRaid (POST),1.0 [0.5]*,9.0,55.0,24.0,35.1,105,495,00.0,00.0
/battlelog/recipe/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,1.0,482,0,482,482,482,00.0,00.0
/playermodel/recipe/campaign/v2/startStage (POST),1.0 [0.5]*,5.0,95.7,35.0,57.6,144,479,00.0,00.0
/battlelog/recipe/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,18.0,26.4,19.5,13.3,92.9,476,00.0,00.0
/recipe/recipe/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,6.0,79.0,27.7,44.4,120,474,00.0,00.0
/reward/periodic/{a:crate|crate\/v1}/assignSharedCrate (POST),0.5 [0.5]*,2.0,231,182,102,359,461,00.0,00.0
/reward/periodic/tutorial/tutorial/tutorial/battlelog/playermodel/playermodel/tutorial/recipe/campaign/v2/finishStage (POST),1.0 [0.5]*,1.0,459,0,459,459,459,00.0,00.0
/battlelog/recipe/playerraid/startRaid (POST),1.0 [0.5]*,8.0,56.3,19.2,39.4,97.8,451,00.0,00.0
/{a:crate|crate\/v1}/recipe/playerraid/startRaid (POST),1.0 [0.5]*,10.0,44.9,4.81,38.8,52.2,449,00.0,00.0
/playermodel/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,18.0,24.4,10.4,16.4,56.5,439,00.0,00.0
/recipe/processUpgradeCharacterLevelRecipe (POST),1.0 [0.5]*,2.0,213,12.1,205,222,426,00.0,00.0
/battlelog/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,12.0,34.8,13.9,18.2,64.3,418,00.0,00.0
/playermodel/recipe/playerraid/startRaid (POST),1.0 [0.5]*,8.0,51.0,9.22,42.9,72.1,408,00.0,00.0
/recipe/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,4.0,102,28.1,71.0,137,407,00.0,00.0
/{a:crate|crate\/v1}/recipe/quest/claimQuest (POST),1.0 [0.5]*,1.0,405,0,405,405,405,00.0,00.0
/{a:crate|crate\/v1}/recipe/ads/claim (POST),0.67 [0.5]*,9.0,43.4,15.6,28.4,78.3,391,00.0,00.0
/playermodel/recipe/recipe/campaign/v2/getUpdatedCampaignInfo (POST),1.0 [0.5]*,2.0,190,174,66.5,313,380,00.0,00.0
/playermodel/recipe/ads/claim (POST),0.67 [0.5]*,9.0,41.7,12.7,29.0,72.0,375,00.0,00.0
/playermodel/recipe/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,17.0,21.8,12.7,15.0,70.0,370,00.0,00.0
/store/recipe/processUpgradeCharacterLevelRecipe (POST),1.0 [0.5]*,1.0,366,0,366,366,366,00.0,00.0
/recipe/recipe/tutorial/completeStep (POST),1.0 [0.5]*,1.0,364,0,364,364,364,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,3.0,121,36.9,89.4,162,363,00.0,00.0
/content/getGameContentVersionConfig (POST),1.0 [0.5]*,78.83745638784224,4.47,11.8,0.551,89.3,353,00.0,00.0
/{a:crate|crate\/v1}/recipe/campaign/v2/startStage (POST),1.0 [0.5]*,5.0,69.7,12.8,57.7,87.0,349,00.0,00.0
/reward/periodic/recipe/quest/getQuests (POST),1.0 [0.5]*,2.0,165,23.7,148,182,330,00.0,00.0
/notification/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,1.0,330,0,330,330,330,00.0,00.0
/reward/periodic/infobutton/getRewardInfo (POST),1.0 [0.5]*,9.0,35.7,29.0,15.3,105,321,00.0,00.0
/playermodel/recipe/recipe/playermodel/listPlayerModelsByModelIds (POST),1.0 [0.5]*,1.0,312,0,312,312,312,00.0,00.0
/{a:crate|crate\/v1}/battlelog/claim (POST),1.0 [0.5]*,5.0,62.2,13.1,51.2,83.9,311,00.0,00.0
/model/goal/v1/claimAchievement (POST),1.0 [0.5]*,2.0,152,17.3,140,164,304,00.0,00.0
/bundle/getBundleConfig (POST),1.0 [0.5]*,23.950619662129284,12.1,31.8,0.621,153,289,00.0,00.0
/{a:crate|crate\/v1}/recipe/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,10.0,28.1,17.4,15.1,71.8,281,00.0,00.0
/playermodel/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,11.0,25.2,7.59,15.1,41.6,278,00.0,00.0
/{a:crate|crate\/v1}/recipe/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,5.0,54.8,23.6,29.6,83.2,274,00.0,00.0
/recipe/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,2.0,134,68.8,85.6,183,268,00.0,00.0
/reward/periodic/leaderboards/getTopPlayers (POST),1.0 [0.5]*,4.0,65.9,92.1,16.9,204,264,00.0,00.0
/store/recipe/ads/claim (POST),1.0 [0.5]*,4.0,65.4,30.9,37.5,102,261,00.0,00.0
/recipe/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,9.0,29.0,16.6,15.2,69.5,261,00.0,00.0
/store/recipe/recipe/campaign/v2/finishStage (POST),1.0 [0.5]*,1.0,261,0,261,261,261,00.0,00.0
/recipe/processClaimActionRecipe (POST),1.0 [0.5]*,1.0,256,0,256,256,256,00.0,00.0
/recipe/healthcheck (GET),1.0 [0.5]*,1.0,255,0,255,255,255,00.0,00.0
/model/playerraid/getStolenCrateHistory (POST),1.0 [0.5]*,6.0,42.2,22.3,15.9,76.9,253,00.0,00.0
/reward/periodic/inbox/claimPlayerInboxMessage (POST),1.0 [0.5]*,2.0,117,65.6,70.8,164,234,00.0,00.0
/{a:crate|crate\/v1}/recipe/leaderboards/getTopPlayers (POST),1.0 [0.5]*,3.0,78.1,61.0,13.9,135,234,00.0,00.0
/tutorial/healthcheck (GET),1.0 [0.5]*,1.0,233,0,233,233,233,00.0,00.0
/playermodel/recipe/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,5.0,45.8,10.3,33.1,59.7,229,00.0,00.0
/notification/recipe/processUpgradePlayerLevelRecipe (POST),1.0 [0.5]*,1.0,223,0,223,223,223,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,2.0,111,111,33.1,189,223,00.0,00.0
/playermodel/updatePlayerItemClientData (POST),1.0 [0.5]*,9.0,24.4,6.14,15.5,33.4,219,00.0,00.0
/battlelog/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,2.0,108,5.22,105,112,217,00.0,00.0
/battlelog/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,9.0,24.0,5.71,17.7,35.5,216,00.0,00.0
/battlelog/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,7.0,30.7,3.26,27.1,35.3,215,00.0,00.0
/playermodel/playermodel/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,6.0,35.3,6.47,29.0,43.2,212,00.0,00.0
/playermodel/recipe/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,3.0,69.6,5.87,63.8,75.5,209,00.0,00.0
/battlelog/recipe/recipe/mission/v1/action/draw (POST),1.0 [0.5]*,2.0,103,10.9,95.6,111,207,00.0,00.0
/battlelog/recipe/infobutton/getGachaRewardInfo (POST),1.0 [0.5]*,6.0,34.3,9.82,23.5,48.4,206,00.0,00.0
/reward/periodic/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,7.0,29.1,12.1,20.2,55.5,204,00.0,00.0
/store/recipe/campaign/v2/getPlayerCampaignStatus (POST),1.0 [0.5]*,10.0,20.0,4.12,15.0,26.5,200,00.0,00.0
/playermodel/battlelog/playermodel/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,6.0,33.1,10.1,26.8,53.4,199,00.0,00.0
/battlelog/recipe/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,9.0,22.0,11.0,14.3,47.1,198,00.0,00.0
/battlelog/battlelog/{a:crate|crate\/v1}/listSharedCrates (POST),1.0 [0.5]*,6.0,32.4,4.4,28.1,36.9,194,00.0,00.0
/reward/periodic/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,7.0,27.6,17.5,16.4,65.3,193,00.0,00.0
/battlelog/recipe/{a:crate|crate\/v1}/assignSharedCrate (POST),0.0 [0.5]*,4.0,46.2,11.5,29.9,56.4,185,00.0,00.0
/{a:crate|crate\/v1}/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,5.0,36.5,17.9,23.3,67.3,183,00.0,00.0
/model/recipe/processUpgradeCharacterEvolutionRecipe (POST),1.0 [0.5]*,2.0,89.9,28.0,70.1,110,180,00.0,00.0
/playermodel/recipe/recipe/store/purchaseConversionProduct (POST),1.0 [0.5]*,4.0,44.8,19.0,34.3,73.2,179,00.0,00.0
/recipe/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,5.0,35.6,12.7,24.0,54.2,178,00.0,00.0
/notification/update (POST),1.0 [0.5]*,10.992533906754923,15.9,4.25,10.8,25.3,175,00.0,00.0
/battlelog/recipe/infobutton/getRewardInfo (POST),1.0 [0.5]*,2.0,86.0,91.2,21.5,150,172,00.0,00.0
/{a:crate|crate\/v1}/recipe/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,4.0,42.2,9.35,34.2,54.4,169,00.0,00.0
/recipe/servertime/getServerTime (POST),1.0 [0.5]*,49.0,3.39,13.4,0.3,80.7,166,00.0,00.0
/playermodel/recipe/infobutton/getRewardInfo (POST),1.0 [0.5]*,3.0,54.8,24.6,26.7,72.4,164,00.0,00.0
/recipe/recipe/inbox/getPlayerInbox (POST),1.0 [0.5]*,4.0,39.9,20.9,25.5,69.9,159,00.0,00.0
/battlelog/recipe/inbox/claimPlayerInboxMessage (POST),1.0 [0.5]*,1.0,159,0,159,159,159,00.0,00.0
/reward/periodic/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,3.0,50.9,10.4,40.7,61.6,153,00.0,00.0
/recipe/recipe/ads/claim (POST),0.5 [0.5]*,4.0,38.0,5.95,31.7,45.0,152,00.0,00.0
/recipe/recipe/campaign/v2/startStage (POST),1.0 [0.5]*,2.0,74.3,22.3,58.6,90.1,149,00.0,00.0
/store/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,6.0,23.0,6.67,18.1,34.6,138,00.0,00.0
/{a:crate|crate\/v1}/playermodel/inbox/getPlayerInbox (POST),1.0 [0.5]*,10.0,13.7,1.14,11.5,15.4,137,00.0,00.0
/battlelog/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,6.0,22.7,4.22,18.1,28.4,136,00.0,00.0
/model/{a:authentication|authentication\/v1}/login/internal (POST),1.0 [0.5]*,2.0,67.5,28.8,47.1,87.8,135,00.0,00.0
/store/battlelog/claim (POST),1.0 [0.5]*,2.0,67.3,21.5,52.1,82.6,135,00.0,00.0
/battlelog/recipe/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,5.0,26.6,10.5,18.6,44.6,133,00.0,00.0
/recipe/recipe/infobutton/getRewardInfo (POST),1.0 [0.5]*,2.0,65.7,59.9,23.4,108,131,00.0,00.0
/{a:crate|crate\/v1}/recipe/leaderboards/getMyLeagueRewards (POST),1.0 [0.5]*,2.0,65.5,45.7,33.2,97.8,131,00.0,00.0
/store/recipe/recipe/battlelog/listDefenseLogs (POST),1.0 [0.5]*,4.0,32.8,23.8,18.9,68.3,131,00.0,00.0
/battlelog/recipe/leaderboards/getTopPlayers (POST),1.0 [0.5]*,4.0,32.4,34.9,13.0,84.6,130,00.0,00.0
/{a:crate|crate\/v1}/recipe/recipe/recipe/quest/getQuests (POST),1.0 [0.5]*,1.0,126,0,126,126,126,00.0,00.0
/playermodel/recipe/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,3.0,41.9,5.44,36.7,47.6,126,00.0,00.0
/unauthenticated/localization/info (POST),1.0 [0.5]*,18.96090723251902,6.59,7.44,0.674,23.8,125,00.0,00.0
/battlelog/servertime/getServerTime (POST),1.0 [0.5],199.0,0.623,0.227,0.342,1.64,124,00.0,00.0
/store/recipe/campaign/v2/getUpdatedStageInfo (POST),1.0 [0.5]*,5.0,24.7,3.51,21.3,29.9,123,00.0,00.0
/store/recipe/inbox/readPlayerInboxMessage (POST),1.0 [0.5]*,2.0,60.5,31.3,38.3,82.6,121,00.0,00.0
/reward/periodic/leaderboards/getRewardsByLeague (POST),1.0 [0.5]*,6.0,20.1,9.39,14.1,38.9,121,00.0,00.0
/{a:crate|crate\/v1}/battlelog/quest/getQuests (POST),1.0 [0.5]*,1.0,119,0,119,119,119,00.0,00.0
/playermodel/servertime/getServerTime (POST),1.0 [0.5]*,58.0,1.86,8.78,0.354,67.1,108,00.0,00.0
/playermodel/leaderboards/getLeaguesInformation (POST),1.0 [0.5]*,3.0,35.0,34.6,13.5,75.0,105,00.0,00.0
/playermodel/recipe/recipe/{a:matchmaking|matchmaking\/v1}/search (POST),1.0 [0.5]*,1.0,105,0,105,105,105,00.0,00.0
/playermodel/recipe/recipe/ads/claim (POST),1.0 [0.5]*,1.0,103,0,103,103,103,00.0,00.0
/recipe/recipe/{a:crate|crate\/v1}/assignSharedCrate (POST),1.0 [0.5]*,1.0,97.6,0,97.6,97.6,97.6,00.0,00.0
/{a:crate|crate\/v1}/recipe/leaderboards/getCurrentLeague (POST),1.0 [0.5]*,5.0,19.5,2.44,17.1,23.6,97.4,00.0,00.0
/battlelog/recipe/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,5.0,19.4,2.88,16.3,22.9,97.2,00.0,00.0
/playermodel/recipe/infobutton/getProductRewardInfo (POST),1.0 [0.5]*,5.0,19.4,3.53,15.0,23.3,97.2,00.0,00.0
