Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/tutorial/store/purchaseConversionProduct (POST),0.94 [0.5],1599.0,1080,7770,19.9,166000,1730000,00.2,00.1
/battlelog/campaign/v2/finishStage (POST),0.82 [0.5],1694.0,970,6740,24.2,179000,1640000,00.2,00.3
/store/mission/v1/action/draw (POST),0.99 [0.5],6581.0,247,2630,45.3,82700,1630000,00.2,00.1
/{a:crate|crate\/v1}/playerraid/end (POST),0.96 [0.5],3857.0,405,1930,162,84400,1560000,00.2,00.2
/{a:crate|crate\/v1}/campaign/v2/getUpdatedCampaignInfo (POST),0.99 [0.5],4834.0,317,3640,18.9,126000,1530000,00.2,00.1
/playermodel/playerraid/end (POST),0.89 [0.5],3124.0,490,2280,141,92100,1530000,00.2,00.4
/playermodel/campaign/v2/finishStage (POST),0.75 [0.5],1790.0,838,4080,32.8,93100,1500000,00.2,00.5
/store/playerraid/end (POST),0.95 [0.5],3308.0,452,2430,157,80100,1500000,00.2,00.2
/store/campaign/v2/getUpdatedCampaignInfo (POST),0.98 [0.5],4027.0,352,3300,17.7,98400,1420000,00.2,00.1
/playermodel/recipe/processOpenGachaRecipe (POST),0.88 [0.5],1956.0,694,4910,28.1,165000,1360000,00.2,00.3
/battlelog/playerraid/end (POST),0.96 [0.5],2888.0,470,3480,158,152000,1360000,00.2,00.1
/recipe/store/purchaseConversionProduct (POST),0.97 [0.5],4655.0,289,3220,19.9,139000,1340000,00.2,00.1
/tutorial/quest/getQuests (POST),0.98 [0.5],2037.0,647,6140,44.5,140000,1320000,00.2,00.0
/store/campaign/v2/finishStage (POST),0.81 [0.5],1908.0,690,3430,26.8,74700,1320000,00.2,00.4
/{a:crate|crate\/v1}/campaign/v2/finishStage (POST),0.82 [0.5],2310.0,569,2160,27.7,75200,1310000,00.2,00.5
/{a:crate|crate\/v1}/mission/v1/action/draw (POST),1.0 [0.5],7964.0,165,2180,44.2,132000,1310000,00.2,00.0
/recipe/processUpgradeCharacterEvolutionRecipe (POST),0.98 [0.5],4722.0,267,1990,37.6,73000,1260000,00.2,00.1
/tutorial/playermodel/listPlayerModelsByModelIds (POST),0.95 [0.5],1301.0,954,6050,132,99500,1240000,00.2,00.1
/tutorial/tutorial/completeStep (POST),1.0 [0.5],11259.0,109,2430,10.2,111000,1220000,00.2,00.0
/battlelog/recipe/processOpenGachaRecipe (POST),0.95 [0.5],1936.0,618,5030,19.4,130000,1200000,00.2,00.1
/{a:crate|crate\/v1}/recipe/processOpenGachaRecipe (POST),0.94 [0.5],1554.0,770,5760,20.1,145000,1200000,00.2,00.1
/playermodel/campaign/v2/listCoreCampaigns (POST),0.83 [0.5],1315.224027348312,903,5360,82.4,114000,1190000,00.2,00.2
/playermodel/{a:matchmaking|matchmaking\/v1}/search (POST),0.98 [0.5],3407.0,343,2980,19.0,88000,1170000,00.2,00.1
/battlelog/{a:matchmaking|matchmaking\/v1}/search (POST),0.99 [0.5],3593.0,322,4340,19.4,164000,1160000,00.2,00.0
/playermodel/ads/claim (POST),0.6 [0.5],3134.0,363,3660,19.7,110000,1140000,00.2,01.4
/goal/v1/claimAchievement (POST),0.97 [0.5],2062.0,541,4360,23.1,112000,1120000,00.1,00.1
/battlelog/{a:authentication|authentication\/v1}/register (POST),0.34 [0.5]*,31.0,35300,66400,755,211000,1100000,00.1,00.0
/battlelog/playerraid/startRaid (POST),0.99 [0.5],2887.0,377,4480,24.2,109000,1090000,00.1,00.0
/recipe/battlelog/listDefenseLogs (POST),0.99 [0.5],4807.0,217,2860,12.9,103000,1040000,00.1,00.1
